RM_RBG_RAUMTEMPERATUR_POINT_ID_Value_Forecast,DSP_FLOOR_DISTRIBUTOR_VORLAUFTEMPERATUR_EQUIPMENT_ID_Value_Forecast,DSP_FLOOR_DISTRIBUTOR_RUECKLAUFTEMPERATUR_EQUIPMENT_ID_Value_Forecast,DSP_KK_CIRCUIT__24A1_AUSSENTEMPERATUR_EQUIP_ID_Value_Forecast,RM_RBG_RAUMTEMPERATUR_POINT_ID_Value_True,DSP_FLOOR_DISTRIBUTOR_VORLAUFTEMPERATUR_EQUIPMENT_ID_Value_True,DSP_FLOOR_DISTRIBUTOR_RUECKLAUFTEMPERATUR_EQUIPMENT_ID_Value_True,DSP_KK_CIRCUIT__24A1_AUSSENTEMPERATUR_EQUIP_ID_Value_True
22.28150785572765,31.321509845604,27.63179932468786,3.3152929329855994,22.305498067638,29.89999954694952,27.359999216135805,2.6648308496266786
22.2856003453299,31.146948679368897,27.49063626258703,3.3025788518736974,22.305498067638,29.59999742885712,27.599997780146502,2.7378041190786995
22.30690701797835,31.249110367995,27.682888350987163,3.3332475088970384,22.305498067638,29.6600008804755,27.669999989816205,2.851472496409528
22.318128429332997,31.30019635990788,27.812544591471045,3.3039702487559595,22.305498067638,29.5699996394478,27.61999901228068,3.0968560351022667
22.305117506393998,31.229882568629996,27.791255544579734,3.3330217172194594,22.5124189241958,29.42999885287134,27.58999956727933,3.3514917128765767
22.451713192533,31.050689773747862,27.766937564589252,3.6268901766675157,22.5124189241958,29.3799987017226,27.539998890143803,3.8517048028259495
22.530120458631,30.969965113213803,27.772415358406903,3.9061294632880816,22.5124189241958,29.2199991870066,27.469999684474004,4.35210940194688
22.552244755462347,30.8464711652922,27.6727606657243,4.217654004414129,22.5124189241958,29.099998339769638,27.400000478804202,4.417116126293077
22.523109006038098,30.679140257218318,27.50013791427073,4.441973307468338,22.6180920442791,29.08999988409984,27.339999486001574,5.353376094320797
22.58971256324535,30.658517155499403,27.516009848142374,4.844036173760138,22.6180920442791,28.97000024806284,27.3000003261331,5.411812990142646
22.617288399897,30.625960100574602,27.507487800826063,5.039942963333736,22.6180920442791,28.91000043004434,27.239999934130452,5.854583968022439
22.654466903469,30.699004542162303,27.5365773342577,5.299870559666619,22.6180920442791,28.88000082383508,27.189999857794902,5.888054924374067
22.63233852919575,30.6212485327302,27.422892760442142,5.408055509267317,22.7209398854535,31.349997268663202,27.17000012766067,5.839908100057428
22.8100884926634,32.1903217449114,28.02377985643924,5.558710573049897,23.029913093687398,31.8999971144994,27.68999851835047,5.999045719769196
22.9424927393514,33.2919323325306,28.708993435229203,5.8610527222618,23.2303700398503,32.449996960335596,28.730000406529904,5.892039379082359
23.152850685266998,33.7123246986471,29.29444477814014,5.829185950760831,23.382560170439998,33.695001511219196,28.990000202674782,5.758706438082918
23.3208253701072,34.01313892631268,29.374738090667265,5.8945461395656515,23.534749718538,34.940000006103,29.250000299219653,5.6253723149280965
23.4666787676565,35.07711813677466,29.304493157805645,6.1585569005810505,23.7899736993183,36.30500055942372,30.014999514553633,5.664330245475998
23.7525000666183,36.51678613962948,30.001821267392323,7.022910494387197,24.045196903443,37.6699992959445,30.779999030287605,5.703284038480071
23.9208986112522,37.3437656147184,30.804630327467653,7.284320513566598,24.045196903443,38.7500020762773,31.320000155111533,6.1713094017428
23.9468092012155,38.33654806913166,31.44862241882983,7.344350363762999,24.045196903443,39.8099988612708,32.360000841691004,5.9493419968171
23.946954824140498,39.471980204433905,32.2524155892724,7.376605473306299,24.045196903443,40.96999897656168,32.8999968597151,6.24610910125692
23.904696992944498,39.9552520164738,32.770527468025,7.350783653340958,24.045196903443,41.6800007595138,33.9399996490945,5.908712498561879
23.928075297324,40.4076109775346,33.3333058212907,7.2388619105840775,24.045196903443,41.51999882239788,34.119999323102505,5.28564568397908
23.897444971279498,40.34800419390312,33.4144288385902,7.094298493474639,24.045196903443,42.020002756285194,34.98000033567398,5.174654297506262
23.974997916217497,40.616924498622,33.7545927752665,7.0454069112686,24.045196903443,45.250000529614205,35.12999966348065,4.852721469336998
23.97199837520835,41.773469060427,34.502716720762244,6.871522494269019,24.045196903443,45.43000058926968,34.84999923600157,4.768451523073697
23.7902606735625,42.355874561193,34.401517972131046,6.449972978693296,24.045196903443,43.760000506821605,37.10000026790141,4.651208307873748
23.959306560639,42.775058755349406,35.5080034848973,6.792812815835546,23.9435297729445,43.239996027994806,37.5799973959228,4.834454804405237
23.9908051876443,42.372328712649605,35.76811893503833,7.13602621407788,23.9435297729445,41.4599983987794,36.430000146205,4.812548283058458
23.85335763073575,40.9229705045148,34.4458672242547,6.561524706816236,23.9435297729445,39.1499978350674,36.0399998511877,4.642297811696999
23.8565074546035,40.0624795489326,33.896688879736274,6.627991984134429,23.8432499435115,37.510002809228396,35.0000000658082,4.485127298537549
23.816502895467,38.5404675111972,32.979284433075705,6.593634411247798,23.8432499435115,36.9399999960528,33.469996828740406,4.352702843947636
23.733210465645,37.17497460509274,31.8279564114022,5.331305253376197,23.8432499435115,37.17999926812681,32.300000449688355,4.190411824759721
23.672040099769497,36.906679885153196,31.31892952954717,5.25363468952175,23.739814950703497,35.9200000617384,29.630000278569852,3.852269282019897
23.395583714032497,35.1911483738088,29.533065106996723,4.2134827691557994,23.739814950703497,33.149997865218,30.799999661621804,3.780051409855698
23.61891559466415,34.80194985706212,29.34730976918032,4.90499815347367,23.6346383077125,32.600001652981675,30.939999274561362,3.5936964357524985
