RM_RBG_RAUMTEMPERATUR_POINT_ID_Value_Forecast,DSP_FLOOR_DISTRIBUTOR_VORLAUFTEMPERATUR_EQUIPMENT_ID_Value_Forecast,DSP_FLOOR_DISTRIBUTOR_RUECKLAUFTEMPERATUR_EQUIPMENT_ID_Value_Forecast,DSP_FLOOR_DISTRIBUTOR_DURCHFLUSS_EQUIPMENT_ID_Value_Forecast,RM_RBG_RAUMTEMPERATUR_POINT_ID_Value_True,DSP_FLOOR_DISTRIBUTOR_VORLAUFTEMPERATUR_EQUIPMENT_ID_Value_True,DSP_FLOOR_DISTRIBUTOR_RUECKLAUFTEMPERATUR_EQUIPMENT_ID_Value_True,DSP_FLOOR_DISTRIBUTOR_DURCHFLUSS_EQUIPMENT_ID_Value_True
22.37899250165625,30.815954982300003,27.738803002725824,0.8521506329199999,22.305498067638,29.89999954694952,27.359999216135805,0.8750000229999999
22.398721980944998,30.59809281189492,27.61127840057098,0.85079789298,22.305498067638,29.59999742885712,27.599997780146502,0.50399997678
22.1702730078108,28.86450775954674,26.682897638675804,0.38638034417999995,22.305498067638,29.6600008804755,27.669999989816205,0.48000000103999996
22.1704794040365,29.22067988138412,26.783905933713342,0.43341646667999995,22.305498067638,29.5699996394478,27.61999901228068,0.4920000193
22.212581904112497,29.80052308863474,27.2563762395853,0.47394386157999996,22.5124189241958,29.42999885287134,27.58999956727933,0.49100004647999995
22.3076328997185,29.279882124228962,26.9724682090363,0.4694681642,22.5124189241958,29.3799987017226,27.539998890143803,0.48999999261999994
22.37675476270875,28.96715756175672,26.814633247890463,0.46243437843999996,22.5124189241958,29.2199991870066,27.469999684474004,0.47900002821999993
22.390640199853348,28.6368185182662,26.616341016891404,0.4515375577,22.5124189241958,29.099998339769638,27.400000478804202,0.48000000103999996
22.411229242727398,28.8495930432393,26.761935279244724,0.4571391438,22.6180920442791,29.08999988409984,27.339999486001574,0.49100004647999995
22.490457045466798,28.77942641275656,26.767875388646985,0.46397055241999996,22.6180920442791,28.97000024806284,27.3000003261331,0.4920000193
22.5393578061735,28.54695595963392,26.65871694148075,0.45801713116,22.6180920442791,28.91000043004434,27.239999934130452,0.4920000193
22.561398515445898,28.325178585358138,26.534691098009443,0.45367205,22.6180920442791,28.88000082383508,27.189999857794902,0.4920000193
22.567053733197298,28.409966821758,26.590102579764853,0.45531400143999995,22.7209398854535,31.349997268663202,27.17000012766067,0.48600004055999996
22.4859239008935,29.47822217367876,27.18076285850239,0.46832005025999995,23.029913093687398,31.8999971144994,27.68999851835047,0.27500000144
22.82261254962315,30.21024781110354,27.43071547658173,0.20623613310999997,23.2303700398503,32.449996960335596,28.730000406529904,0.27500000144
23.106325811122648,32.1922687488471,28.518321751176465,0.28225223052,23.382560170439998,33.695001511219196,28.990000202674782,0.27549999797999997
23.22323286613215,32.9173748009004,28.96456112992162,0.30440520336,23.534749718538,34.940000006103,29.250000299219653,0.27600003504
23.3342770450992,33.951206638758,29.348876655528162,0.31027156739999995,23.7899736993183,36.30500055942372,30.014999514553633,0.27549999797999997
23.505005750697,35.4159561703845,30.115585747605223,0.30230877959999997,24.045196903443,37.6699992959445,30.779999030287605,0.27500000144
23.751710790364797,36.634901754128705,30.73404444061738,0.28707200347999995,24.045196903443,38.7500020762773,31.320000155111533,0.26399999651999995
23.8439504868627,37.4403224755296,31.280023224842324,0.28039457085999997,24.045196903443,39.8099988612708,32.360000841691004,0.26700001628
23.792393564004,38.7368454167118,32.31233517367774,0.2972346626,24.045196903443,40.96999897656168,32.8999968597151,0.27600003504
23.8247868982605,39.680164281558596,33.041540228203274,0.30891520091999997,24.045196903443,41.6800007595138,33.9399996490945,0.27600003504
23.7877087774248,40.5452032929906,33.68221650447583,0.31562867607999995,24.045196903443,41.51999882239788,34.119999323102505,0.27200002219999997
23.86127126589,40.573260740064,33.84510749785336,0.31414979737999993,24.045196903443,42.020002756285194,34.98000033567398,0.27600003504
23.798008783992,41.092429490918406,34.2789469658113,0.32032755762,24.045196903443,45.250000529614205,35.12999966348065,0.27200002219999997
23.774879980224,42.074561258483406,34.8838504096747,0.32212773965999997,24.045196903443,45.43000058926968,34.84999923600157,0.26399999651999995
23.847437088015,42.339156368145126,34.972882958710905,0.32855842573999994,24.045196903443,43.760000506821605,37.10000026790141,0.27600003504
23.742329081962648,43.4463845011788,35.888517148230406,0.33503109053999997,23.9435297729445,43.239996027994806,37.5799973959228,0.27600003504
23.75196427133625,43.277688570749994,35.969261661542504,0.32547149057999997,23.9435297729445,41.4599983987794,36.430000146205,0.27500000144
23.9067531886455,41.3388662907798,35.00977808548271,0.34721427946,23.9435297729445,39.1499978350674,36.0399998511877,0.27200002219999997
23.8724521940715,40.4547054599793,34.71096510862988,0.33163111811999996,23.8432499435115,37.510002809228396,35.0000000658082,0.26799998909999995
23.787657906483,38.9992821680448,33.881262439049806,0.30351615403999993,23.8432499435115,36.9399999960528,33.469996828740406,0.27100002912
23.818044556832998,37.3814944934724,32.840190225706,0.31987373361999993,23.8432499435115,37.17999926812681,32.300000449688355,0.27100002912
23.8135890778197,36.7969088327784,32.303354415576706,0.32234024679999995,23.739814950703497,35.9200000617384,29.630000278569852,0.27600003504
23.8880940378555,34.8805482560664,30.832055344554703,0.33013643662,23.739814950703497,33.149997865218,30.799999661621804,0.48000000103999996
23.590167978876,34.6717101309633,30.562331300333533,0.5065386358199999,23.6346383077125,32.600001652981675,30.939999274561362,0.48000000103999996
23.59063853508765,34.3214462425308,30.550587162724483,0.43480549228,23.6346383077125,32.49999953388426,31.029999111565363,0.072000002182
